word,n
install,40
use,25
replace,22
implement,18
check,8
repair,8
ensure,7
add,6
eliminate,4
establish,4
hire,4
adjust,3
consider,3
encourage,3
remove,3
calibrate,2
chose,2
clean,2
create,2
educate,2
evaluate,2
inspect,2
monitor,2
optimize,2
recycle,2
retrofit,2
review,2
run,2
test,2
aerate,1
