terms
assign
avoid
check
comply
confirm
consider
design
determine
encourage
ensure
evaluate
find
follow
hire
identify
inform
inspect
investigate
keep
maintain
meet
monitor
observe
recommend
require
review
satisfy
survey
test
verify
